Employee ID,First Name,Last Name,Email Address,Department,Job Level,Tenure,Pay Rate,Gender,Ethnicity,Tenure Date,Report Effective Date,Status,Annual Salary,Education,Tenure_Today
427,Erik,Sanders,erik.sanders@widgetcorp.com,Complaince,Associate,4.894980205,49.94,Male,4,2014-02-07,2018-12-31,Active,103875.2,Bachelor,6.79
848,Christina,Blaze,christina.blaze@widgetcorp.com,Complaince,VP,7.400493236,48.62,Female,1,2011-08-06,2018-12-31,Active,101129.6,Some College,9.3
63,Drue,Hightower,drue.hightower@widgetcorp.com,Complaince,Associate,2.728467261,37.87,Male,3,2016-04-08,2018-12-31,Active,78769.6,High School Diploma,4.62
305,Edgar,Lopez,edgar.lopez@widgetcorp.com,Complaince,Analyst,4.32405256,37.33,Male,4,2014-09-03,2018-12-31,Active,77646.4,Some College,6.22
513,Marianne,Rem,marianne.rem@widgetcorp.com,Complaince,Associate,5.307411252,34.07,Female,2,2013-09-09,2018-12-31,Active,70865.6,Master,7.2
640,Alexander,Manganello,alexander.manganello@widgetcorp.com,Complaince,Analyst,5.913296776,31.8,Male,2,2013-01-31,2018-12-31,Active,66144,High School Diploma,7.81
17,William,Torain,william.torain@widgetcorp.com,Complaince,Analyst,1.949402912,28.07,Male,3,2017-01-17,2018-12-31,Active,58385.6,Bachelor,3.84
196,Kelsey,Nguyen,kelsey.nguyen@widgetcorp.com,Complaince,Analyst,3.765248318,27.75,Female,2,2015-03-26,2018-12-31,Active,57720,Master,5.66
33,Rachelle,Thomas,rachelle.thomas@widgetcorp.com,Complaince,Analyst,2.355757622,27.17,Female,1,2016-08-22,2018-12-31,Active,56513.6,Some College,4.25
178,Husniyya,al-Nazir,husniyya.al-nazir@widgetcorp.com,Complaince,Analyst,3.682307369,26.93,Female,6,2015-04-26,2018-12-31,Active,56014.4,Some College,5.57
961,Andres,Orozco,andres.orozco@widgetcorp.com,Design,Executive,9.084414862,91.04,Male,4,2009-11-29,2018-12-31,Active,189363.2,Master,10.98
947,Taajuddeen,el-Hannan,taajuddeen.el-hannan@widgetcorp.com,Design,Director,8.694525136,70.08,Male,6,2010-04-21,2018-12-31,Active,145766.4,High School Diploma,10.59
724,Waddaah,al-Kazemi,waddaah.al-kazemi@widgetcorp.com,Design,VP,6.402610754,65.37,Male,6,2012-08-05,2018-12-31,Active,135969.6,PhD,8.3
953,Jeremiah,Chen,jeremiah.chen@widgetcorp.com,Design,Director,8.844825378,63.6,Male,2,2010-02-25,2018-12-31,Active,132288,High School Diploma,10.74
994,Kalyn,Kennedy,kalyn.kennedy@widgetcorp.com,Design,Executive,10.58952762,53.75,Female,5,2008-05-29,2018-12-31,Active,111800,Some College,12.48
808,John,Bordeaux,john.bordeaux@widgetcorp.com,Design,Manager,6.969225962,53,Male,5,2012-01-11,2018-12-31,Active,110240,Some College,8.86
74,Baasim,el-Naqvi,baasim.el-naqvi@widgetcorp.com,Design,Analyst,2.868637521,48.44,Male,6,2016-02-17,2018-12-31,Active,100755.2,Bachelor,4.76
687,Marzooq,al-Anwar,marzooq.al-anwar@widgetcorp.com,Design,Manager,6.191377588,48.36,Male,6,2012-10-21,2018-12-31,Active,100588.8,Some College,8.08
594,Cainan,Herrera,cainan.herrera@widgetcorp.com,Design,Manager,5.676819219,48.25,Male,1,2013-04-27,2018-12-31,Active,100360,High School Diploma,7.57
311,Kento,Shin,kento.shin@widgetcorp.com,Design,Associate,4.343474402,46.8,Male,2,2014-08-27,2018-12-31,Active,97344,Some College,6.24
955,Nutthavasa,Gandhi,nutthavasa.gandhi@widgetcorp.com,Design,Director,8.863089357,46.06,Female,2,2010-02-18,2018-12-31,Active,95804.8,Some College,10.76
784,Chanae,Collins,chanae.collins@widgetcorp.com,Design,Director,6.79205612,43.79,Female,3,2012-03-16,2018-12-31,Active,91083.2,Some College,8.68
654,Amninder,Tran,amninder.tran@widgetcorp.com,Design,Analyst,6.007571339,43.71,Male,2,2012-12-27,2018-12-31,Active,90916.8,High School Diploma,7.9
869,Danielle,Smith,danielle.smith@widgetcorp.com,Design,Director,7.5975812,43.43,Female,3,2011-05-26,2018-12-31,Active,90334.4,High School Diploma,9.49
641,Jair,Gonzales,jair.gonzales@widgetcorp.com,Design,Manager,5.916629882,41.8,Male,4,2013-01-29,2018-12-31,Active,86944,Master,7.81
503,Tyler,Reilly,tyler.reilly@widgetcorp.com,Design,Associate,5.253337314,41.52,Male,2,2013-09-29,2018-12-31,Active,86361.6,PhD,7.15
810,Zaid,el-Ahmed,zaid.el-ahmed@widgetcorp.com,Design,Manager,6.985141043,40.45,Male,6,2012-01-05,2018-12-31,Active,84136,High School Diploma,8.88
184,Will,Pronteau,will.pronteau@widgetcorp.com,Design,Associate,3.714969922,40.16,Male,1,2015-04-14,2018-12-31,Active,83532.8,Some College,5.61
838,Bethany,Cardoza,bethany.cardoza@widgetcorp.com,Design,Manager,7.259782931,39.34,Female,1,2011-09-27,2018-12-31,Active,81827.2,High School Diploma,9.15
555,Meagan,Vang,meagan.vang@widgetcorp.com,Design,Manager,5.489245956,37.67,Female,2,2013-07-05,2018-12-31,Active,78353.6,High School Diploma,7.38
40,Samuel,Liu,samuel.liu@widgetcorp.com,Design,Analyst,2.426772666,37.19,Male,2,2016-07-27,2018-12-31,Active,77355.2,High School Diploma,4.32
870,Wasmaaa,el-Bina,wasmaaa.el-bina@widgetcorp.com,Design,Associate,7.600743974,34.94,Female,6,2011-05-25,2018-12-31,Active,72675.2,Some College,9.49
695,Stephanie,Ramirez,stephanie.ramirez@widgetcorp.com,Design,Associate,6.227301995,34.81,Female,4,2012-10-08,2018-12-31,Active,72404.8,High School Diploma,8.12
740,Masooda,al-Malek,masooda.al-malek@widgetcorp.com,Design,Associate,6.479976702,34.29,Female,6,2012-07-08,2018-12-31,Active,71323.2,Bachelor,8.37
312,Raafi,el-Rasul,raafi.el-rasul@widgetcorp.com,Design,Analyst,4.346216291,34.2,Male,6,2014-08-26,2018-12-31,Active,71136,Some College,6.24
318,Tyler,Orr,tyler.orr@widgetcorp.com,Design,Associate,4.383756065,33.77,Male,4,2014-08-12,2018-12-31,Active,70241.6,Some College,6.28
657,Afaaf,el-Semaan,afaaf.el-semaan@widgetcorp.com,Design,Associate,6.028365417,33.28,Female,6,2012-12-20,2018-12-31,Active,69222.4,PhD,7.92
421,Demi,Castro,demi.castro@widgetcorp.com,Design,Associate,4.872069587,32.68,Female,2,2014-02-15,2018-12-31,Active,67974.4,High School Diploma,6.77
186,Melina,Lau,melina.lau@widgetcorp.com,Design,Associate,3.717543275,32.34,Female,2,2015-04-13,2018-12-31,Active,67267.2,High School Diploma,5.61
248,Courtney,Zweifel,courtney.zweifel@widgetcorp.com,Design,Associate,4.017932214,31.66,Female,5,2014-12-24,2018-12-31,Active,65852.8,Master,5.91
226,Matthew,Lavelle,matthew.lavelle@widgetcorp.com,Design,Analyst,3.911450279,30.38,Male,5,2015-02-01,2018-12-31,Active,63190.4,High School Diploma,5.8
121,Rosa,Aragon,rosa.aragon@widgetcorp.com,Design,Analyst,3.306885733,28.39,Female,4,2015-09-10,2018-12-31,Active,59051.2,Some College,5.2
137,Alondra,Leos-Valles,alondra.leos-valles@widgetcorp.com,Design,Analyst,3.408210803,28.29,Female,4,2015-08-04,2018-12-31,Active,58843.2,Bachelor,5.3
342,Elizabeth,Thomas,elizabeth.thomas@widgetcorp.com,Design,Analyst,4.496215014,27.64,Female,5,2014-07-02,2018-12-31,Active,57491.2,Some College,6.39
252,Sukaina,el-Shakoor,sukaina.el-shakoor@widgetcorp.com,Design,Analyst,4.034614021,26.98,Female,6,2014-12-18,2018-12-31,Active,56118.4,PhD,5.93
997,Robert,Young,robert.young@widgetcorp.com,Engineering,Executive,10.92151824,88.44,Male,3,2008-01-28,2018-12-31,Active,183955.2,Some College,12.82
975,Husaam,el-Shehata,husaam.el-shehata@widgetcorp.com,Engineering,VP,9.643735757,77.93,Male,6,2009-05-09,2018-12-31,Active,162094.4,Master,11.54
985,Indigo,Begay,indigo.begay@widgetcorp.com,Engineering,Executive,10.06087108,69.77,Male,1,2008-12-08,2018-12-31,Active,145121.6,Bachelor,11.95
933,Ishaaq,el-Mahmoud,ishaaq.el-mahmoud@widgetcorp.com,Engineering,Director,8.445899035,67.31,Male,6,2010-07-21,2018-12-31,Active,140004.8,Some College,10.34
718,Isaiah,Moore,isaiah.moore@widgetcorp.com,Engineering,Director,6.367907922,60.62,Male,3,2012-08-18,2018-12-31,Active,126089.6,Some College,8.26
965,Friedrich,Smith Small,friedrich.smith small@widgetcorp.com,Engineering,VP,9.163091966,58.29,Male,3,2009-11-01,2018-12-31,Active,121243.2,High School Diploma,11.06
549,Israel,Hernandez,israel.hernandez@widgetcorp.com,Engineering,Associate,5.44365341,56.57,Male,4,2013-07-21,2018-12-31,Active,117665.6,Bachelor,7.34
876,Christian,Westphal,christian.westphal@widgetcorp.com,Engineering,Manager,7.633811898,55.99,Male,2,2011-05-13,2018-12-31,Active,116459.2,Bachelor,9.53
378,Andre,Morin,andre.morin@widgetcorp.com,Engineering,Manager,4.685239994,55.29,Male,1,2014-04-24,2018-12-31,Active,115003.2,Bachelor,6.58
761,Elias,John,elias.john@widgetcorp.com,Engineering,Director,6.654894059,55.13,Male,5,2012-05-05,2018-12-31,Active,114670.4,Master,8.55
996,Daijha,Cook,daijha.cook@widgetcorp.com,Engineering,Executive,10.90735888,54.87,Female,3,2008-02-03,2018-12-31,Active,114129.6,High School Diploma,12.8
772,Victor,Todd,victor.todd@widgetcorp.com,Engineering,Manager,6.711943034,54.43,Male,1,2012-04-14,2018-12-31,Active,113214.4,Bachelor,8.61
940,Kaitlyn,Davis,kaitlyn.davis@widgetcorp.com,Engineering,Executive,8.573688152,54.2,Female,5,2010-06-04,2018-12-31,Active,112736,Bachelor,10.47
956,Deion,Sharpe,deion.sharpe@widgetcorp.com,Engineering,Director,8.871227906,52.97,Male,1,2010-02-15,2018-12-31,Active,110177.6,High School Diploma,10.77
326,Brannon,Garcia,brannon.garcia@widgetcorp.com,Engineering,Manager,4.410649705,52.41,Male,1,2014-08-03,2018-12-31,Active,109012.8,High School Diploma,6.3
591,Roberto,Negrete,roberto.negrete@widgetcorp.com,Engineering,Associate,5.665633328,51.73,Male,4,2013-05-01,2018-12-31,Active,107598.4,Bachelor,7.56
968,Ngadi,Howard,ngadi.howard@widgetcorp.com,Engineering,VP,9.274782131,51.11,Female,3,2009-09-21,2018-12-31,Active,106308.8,Bachelor,11.17
905,Marian,Lockhart,marian.lockhart@widgetcorp.com,Engineering,VP,8.087038742,50.19,Female,5,2010-11-29,2018-12-31,Active,104395.2,Some College,9.98
669,Martha,Olivas,martha.olivas@widgetcorp.com,Engineering,VP,6.108411559,49.48,Female,4,2012-11-20,2018-12-31,Active,102918.4,High School Diploma,8
897,Jannelle,Parker,jannelle.parker@widgetcorp.com,Engineering,VP,7.960578851,49.2,Female,3,2011-01-14,2018-12-31,Active,102336,Bachelor,9.85
963,Summer,Connely,summer.connely@widgetcorp.com,Engineering,VP,9.124182065,49.01,Female,5,2009-11-15,2018-12-31,Active,101940.8,Bachelor,11.02
546,Jared,Garcia,jared.garcia@widgetcorp.com,Engineering,Associate,5.439434744,48.25,Male,1,2013-07-23,2018-12-31,Active,100360,High School Diploma,7.33
284,Caleb,Tawater,caleb.tawater@widgetcorp.com,Engineering,Associate,4.171179265,48,Male,2,2014-10-29,2018-12-31,Active,99840,High School Diploma,6.06
659,Jonathon,Westfield,jonathon.westfield@widgetcorp.com,Engineering,Manager,6.034469625,47.86,Male,3,2012-12-17,2018-12-31,Active,99548.8,Master,7.93
707,Marcus,Wiggins,marcus.wiggins@widgetcorp.com,Engineering,Manager,6.301936241,47.09,Male,3,2012-09-11,2018-12-31,Active,97947.2,Some College,8.19
155,Anthony,Boulier,anthony.boulier@widgetcorp.com,Engineering,Analyst,3.554324358,46.29,Male,1,2015-06-11,2018-12-31,Active,96283.2,Bachelor,5.45
701,Althean,Thrush,althean.thrush@widgetcorp.com,Engineering,Director,6.253693975,45.33,Male,1,2012-09-28,2018-12-31,Active,94286.4,High School Diploma,8.15
114,Jose,Garcia,jose.garcia@widgetcorp.com,Engineering,Analyst,3.243033728,44.28,Male,4,2015-10-03,2018-12-31,Active,92102.4,High School Diploma,5.14
843,Ruby,Miller,ruby.miller@widgetcorp.com,Engineering,Director,7.309176004,43.94,Female,1,2011-09-09,2018-12-31,Active,91395.2,Some College,9.2
193,Joshua,Hickman,joshua.hickman@widgetcorp.com,Engineering,Analyst,3.752351305,43.08,Male,5,2015-03-31,2018-12-31,Active,89606.4,Some College,5.65
596,Awad,el-Dada,awad.el-dada@widgetcorp.com,Engineering,Associate,5.685945562,42.74,Male,6,2013-04-24,2018-12-31,Active,88899.2,Bachelor,7.58
341,Forrest,Paulsen,forrest.paulsen@widgetcorp.com,Engineering,Associate,4.496020831,42.56,Male,5,2014-07-02,2018-12-31,Active,88524.8,Some College,6.39
273,Abdur Raheem,el-Selim,abdur raheem.el-selim@widgetcorp.com,Engineering,Associate,4.119666238,42.46,Male,6,2014-11-17,2018-12-31,Active,88316.8,Some College,6.01
87,Tyler,Oswalt-Naasz,tyler.oswalt-naasz@widgetcorp.com,Engineering,Analyst,2.982666094,42.45,Male,1,2016-01-06,2018-12-31,Active,88296,Master,4.88
736,Austin,Casias,austin.casias@widgetcorp.com,Engineering,Manager,6.467652856,41.96,Male,4,2012-07-12,2018-12-31,Active,87276.8,Some College,8.36
824,Kate,Xue,kate.xue@widgetcorp.com,Engineering,Director,7.166359221,41.8,Female,2,2011-10-31,2018-12-31,Active,86944,High School Diploma,9.06
163,Jeremy,Culhane,jeremy.culhane@widgetcorp.com,Engineering,Associate,3.612992931,41.55,Male,1,2015-05-21,2018-12-31,Active,86424,PhD,5.51
